iter	RMSE
0	18.71244471
1	18.01805662
2	17.3397882
3	16.70997473
4	16.10561821
5	15.53953469
6	15.01975227
7	14.51441936
8	14.04136612
9	13.6072936
10	13.19451109
11	12.8006332
12	12.43103622
13	12.08888135
14	11.76431487
15	11.46125008
16	11.1790403
17	10.91783088
18	10.68273866
19	10.45261711
20	10.24771138
21	10.05765211
22	9.873257615
23	9.699507466
24	9.539197203
25	9.394298298
26	9.260310481
27	9.137967871
28	9.023726253
29	8.914905209
30	8.815998828
31	8.723909652
32	8.639335967
33	8.560899143
34	8.488243738
35	8.422919786
36	8.361650967
37	8.30361843
38	8.250648497
39	8.202202154
40	8.157080562
41	8.111714339
42	8.073127682
43	8.03535534
44	8.001635565
45	7.967658087
46	7.939394021
47	7.911597583
48	7.88649463
49	7.863092827
50	7.83945242
51	7.817208402
52	7.794436934
53	7.770969043
54	7.752945074
55	7.738082495
56	7.723569105
57	7.708526935
58	7.693808182
59	7.67823187
60	7.660095857
61	7.645860252
62	7.633806615
63	7.622688114
64	7.611916014
65	7.600650588
66	7.591677507
67	7.582187016
68	7.572400654
69	7.562937843
70	7.554013593
71	7.546706326
72	7.540153049
73	7.532339678
74	7.522894608
75	7.515991412
76	7.50985402
77	7.500934564
78	7.493555286
79	7.488905372
80	7.481196171
81	7.477320974
82	7.47085248
83	7.460724732
84	7.45448883
85	7.450770379
86	7.446764379
87	7.441978265
88	7.435254121
89	7.429408477
90	7.423222259
91	7.416281113
92	7.41138143
93	7.406775804
94	7.401811414
95	7.395311334
96	7.391447669
97	7.385308361
98	7.382412306
99	7.378892698
100	7.37397788
101	7.37019006
102	7.36807274
103	7.364514008
104	7.359016459
105	7.356634365
106	7.352996886
107	7.351119238
108	7.347105282
109	7.34106502
110	7.337879912
111	7.334466989
112	7.332784533
113	7.328980892
114	7.322847867
115	7.318986638
116	7.313343671
117	7.311567455
118	7.307427541
119	7.302846146
120	7.299377221
121	7.295313601
122	7.291422475
123	7.28331515
124	7.280190126
125	7.276547489
126	7.274424169
127	7.272706168
128	7.268962875
129	7.267136015
130	7.263271188
131	7.261268599
132	7.257004901
133	7.254526157
134	7.249584298
135	7.247767961
136	7.243255173
137	7.240852791
138	7.240273032
139	7.238081313
140	7.234107154
141	7.232586242
142	7.229041221
143	7.223344241
144	7.21960986
145	7.216719127
146	7.214335692
147	7.212103138
148	7.20990921
149	7.20716
150	7.204090181
151	7.201377717
152	7.200543855
153	7.19864116
154	7.197966505
155	7.195180498
156	7.192405354
157	7.186935123
158	7.183438925
159	7.181758966
160	7.179722873
161	7.17538478
162	7.174641289
163	7.172178795
164	7.169082414
165	7.167388702
166	7.164205918
167	7.162022105
168	7.161419571
169	7.156119322
170	7.150188839
171	7.147097355
172	7.145271397
173	7.143442166
174	7.140628469
175	7.138750317
176	7.13276846
177	7.129717214
178	7.126959168
179	7.12544432
180	7.12270472
181	7.120118497
182	7.118925993
183	7.117709152
184	7.113971243
185	7.11070938
186	7.108262605
187	7.106449233
188	7.104782908
189	7.104516098
190	7.099895319
191	7.095839731
192	7.093833067
193	7.091421656
194	7.08915322
195	7.085543306
196	7.084445625
197	7.081830066
198	7.081657413
199	7.077220774
200	7.074320024
201	7.071715297
202	7.070093436
203	7.065150237
204	7.061423029
205	7.059825573
206	7.056358512
207	7.05620999
208	7.053514542
209	7.050214555
210	7.047774811
211	7.043633927
212	7.04164939
213	7.040654675
214	7.040583096
215	7.035277283
216	7.033418631
217	7.029701075
218	7.029582133
219	7.028599969
220	7.027107518
221	7.023398037
222	7.02251083
223	7.020218903
224	7.015217703
225	7.01370689
226	7.012480366
227	7.010083042
228	7.007176567
229	7.004619227
230	7.000474904
231	6.996396473
232	6.992395928
233	6.988130444
234	6.986580576
235	6.985800185
236	6.983213695
237	6.980398585
238	6.979511245
239	6.977641432
240	6.976925707
241	6.972830218
242	6.971120042
243	6.969955453
244	6.968897911
245	6.963856565
246	6.963768982
247	6.961501727
248	6.959434522
249	6.958737911
250	6.956219981
251	6.95315221
252	6.951683515
253	6.949010981
254	6.947184892
255	6.94591158
256	6.944603812
257	6.941551945
258	6.939746175
259	6.935816991
260	6.935577949
261	6.9343087
262	6.932687737
263	6.930776371
264	6.928901672
265	6.925305392
266	6.925014507
267	6.922029291
268	6.921898984
269	6.919241224
270	6.91923005
271	6.918124192
272	6.91478009
273	6.911537116
274	6.909846165
275	6.907399955
276	6.905410891
277	6.904323348
278	6.902818546
279	6.899263869
280	6.89635387
281	6.895537729
282	6.893849915
283	6.890649658
284	6.888636636
285	6.887990441
286	6.886781442
287	6.884466581
288	6.883103874
289	6.88171281
290	6.879397909
291	6.877418233
292	6.873761483
293	6.873219499
294	6.870440799
295	6.869727035
296	6.864190086
297	6.862365211
298	6.858935059
299	6.856798722
300	6.854514883
301	6.853091485
302	6.851739463
303	6.848735269
304	6.848355419
305	6.847118302
306	6.845812784
307	6.842793434
308	6.840278873
309	6.837966276
310	6.834982631
311	6.832578558
312	6.829607233
313	6.828703444
314	6.828100223
315	6.826203408
316	6.82506108
317	6.822528231
318	6.818811391
319	6.814445867
320	6.813590707
321	6.812650959
322	6.811104252
323	6.809422632
324	6.808368754
325	6.804507206
326	6.803365234
327	6.802480058
328	6.802270427
329	6.798829331
330	6.797246831
331	6.795945637
332	6.792219309
333	6.78954347
334	6.789480631
335	6.789383418
336	6.787990866
337	6.786738105
338	6.786630094
339	6.784345004
340	6.781100879
341	6.779031884
342	6.778063898
343	6.773913698
344	6.773345336
345	6.770704964
346	6.770176512
347	6.768472244
348	6.76652084
349	6.762464756
350	6.760200724
351	6.758963148
352	6.75874094
353	6.758724418
354	6.75870048
355	6.755874467
356	6.755013164
357	6.754348038
358	6.752427961
359	6.751090347
360	6.748228261
361	6.746914218
362	6.745606287
363	6.745430759
364	6.743881585
365	6.742551407
366	6.739878154
367	6.738970617
368	6.737084197
369	6.733817517
370	6.731915404
371	6.731382843
372	6.728726644
373	6.728012741
374	6.722067709
375	6.72009239
376	6.718967394
377	6.717363523
378	6.713931793
379	6.712002074
380	6.709973651
381	6.708307657
382	6.708304243
383	6.707808013
384	6.70748315
385	6.707455402
386	6.705359626
387	6.703553877
388	6.702684356
389	6.702268672
390	6.701687183
391	6.700421492
392	6.699819969
393	6.697938982
394	6.695699746
395	6.695188896
396	6.694310376
397	6.693694401
398	6.691117817
399	6.688591612
400	6.687101637
401	6.684706707
402	6.683398383
403	6.683073619
404	6.681641768
405	6.679463944
406	6.677680995
407	6.676870289
408	6.674261039
409	6.672609087
410	6.670133613
411	6.668424173
412	6.666134645
413	6.663409249
414	6.662445093
415	6.659783756
416	6.657489751
417	6.654757588
418	6.653367415
419	6.653346542
420	6.650187063
421	6.649384201
422	6.649366976
423	6.64831766
424	6.647515434
425	6.646474657
426	6.646458071
427	6.644555945
428	6.644136624
429	6.641486058
430	6.640542867
431	6.639477278
432	6.638977198
433	6.638145805
434	6.636506653
435	6.634637927
436	6.632053078
437	6.631102716
438	6.630145955
439	6.627615521
440	6.626203232
441	6.625617013
442	6.62473013
443	6.622934608
444	6.621520456
445	6.621032643
446	6.620018197
447	6.617655455
448	6.616660615
449	6.616397275
450	6.614769616
451	6.614687151
452	6.614133896
453	6.612991524
454	6.612874613
455	6.610037587
456	6.608677219
457	6.606914173
458	6.60671589
459	6.60669942
460	6.606226334
461	6.604933679
462	6.604290508
463	6.603529765
464	6.602110155
465	6.600224749
466	6.599454208
467	6.597946057
468	6.596301691
469	6.596297784
470	6.594377715
471	6.593218023
472	6.592837566
473	6.590726197
474	6.588848615
475	6.588478337
476	6.587290221
477	6.586016892
478	6.581341634
479	6.579213737
480	6.57812733
481	6.577317849
482	6.57548347
483	6.575004218
484	6.57370869
485	6.573458658
486	6.572126446
487	6.570189289
488	6.570174253
489	6.569428956
490	6.567506917
491	6.566999395
492	6.566723381
493	6.565619207
494	6.564327716
495	6.563571502
496	6.563318902
497	6.560314228
498	6.559064039
499	6.557122369
